,product,item_code,store,brand,url,price,item description,image url
40,Շապիկ `3 dzook` «Ընկերներ»,N:002359,3 dzook,3 dzook,https://4u.am/hy/product/sapik-3-dzook-nkerner,12900,"Բարձրորակ տպագիր կանացի շապիկ։
Բամբակ - 95%,
Լայկրա - 5%, 
Չափերը S, M, L, XL:",https://static.4u.am/origin/product/1024/0005868_0.jpeg
41,Քարտապանակ «Marashlian Maison» №2,N:023826,Marashlyan Maison and photoatelier,Anna Mirzoyan Bags,https://4u.am/hy/product/kartapanak-marashlian-maison-no2,20000,"Քարտապանակը կարված է բարձրորակ իտալական կաշվից: Արտադրված է Հայաստանում:


Նյութը՝ բնական կաշի:",https://static.4u.am/origin/product/1024/Zox5hyUQnrNNLVNv.jpg
42,Պայուսակ «Diplomat» տղամարդու №1,N:013193,Diplomat,,https://4u.am/hy/product/payusak-diplomat-tgamardu,18800,"Տղամարդու սև պայուսակ պատրաստված բնական կաշվից:

Պայուսակի չափը.
Երկարությունը՝ 26 սմ:
Լայնությունը՝ 23 սմ:",https://static.4u.am/origin/product/1024/BM5SMQzp99HuiAOl.jpg
43,Արևային ակնոց «Danz» № DZ4504,N:003433,Danz,Danz,https://4u.am/hy/product/arevayin-aknoc-danz-no-dz4504,29000,"Ոճային ու հարմարավետ։ Այս նոր մոդելն իր ձևով և գույներով վստահաբար կհամապատասխանի յուրաքանչյուր ճաշակի։


Չափը` 52-19-145:


Նյութը` ացետատ:",https://static.4u.am/origin/product/1024/MODEL_ws_DZ4504_ws_(7).jpg
44,Պայուսակ «Diplomat» տղամարդու №2,N:013204,Diplomat,,https://4u.am/hy/product/payusak-diplomat-tgamardu-no2-2,37500,"Շագանակագույն պայուսակ պատրաստված բնական կաշվից:

Պայուսակի չափը.
Երկարությունը՝ 38 սմ:
Լայնությունը՝ 8 սմ:
Բարձրությունը՝ 32 սմ:",https://static.4u.am/origin/product/1024/13k5rp16Op7iXs-D.jpg
45,Շապիկ `3 dzook` «Ընկերներ»,N:002360,3 dzook,3 dzook,https://4u.am/hy/product/sapik-3-dzook-nkerner-2,9900,"Բարձրորակ տպագիր կանացի շապիկ։
Բամբակ - 95%,
Լայկրա -  5%,
Չափսերը S, M, L, XL:",https://static.4u.am/origin/product/1024/0005867_0.jpeg
46,Օպտիկական ակնոց «Danz» № DZ1304-2,N:003584,Danz,Danz,https://4u.am/hy/product/optikakan-aknoc-danz-no-dz1304-2,23000,"Դասական ու հարմարավետ։ Այս մոդելը իր ձևով և գույներով վստահաբար կհամապատասխանի յուրաքանչյուր ճաշակի։


Չափը՝ 54-18-145:


Նյութը` ացետատ:",https://static.4u.am/origin/product/1024/MODEL-DZ1304-(1).jpg
47,Շապիկ `3 dzook` «Ընկերներ»,N:002361,3 dzook,3 dzook,https://4u.am/hy/product/sapik-3-dzook-nkerner-3,8900,"Բարձրորակ տպագիր կանացի շապիկ։
Բամբակ - 95%,
Լայկրա - 5%,
Չափսերը S, M, L, XL:",https://static.4u.am/origin/product/1024/0005656_0.jpeg
48,Ժամացույց  «Casio» ձեռքի  GM-5600-1DR,00-00015645,Time,Casio,https://4u.am/hy/product/zamacuyc-casio-jerki-gm-5600-1dr,88160,"Ապրանքանիշ` Casio
Արտադրման երկիր` Չինաստան, Թայլանդ, Ճապոնիա
Սեռ` տղամարդու
Մեխանիզմի տեսակ` կվարց
Ապրանքի անվանում` Quartz Wristwatch / GM-5600-1DR
Բրենդի գրանցման երկիրը` Ճապոնիա
Թվատախտակի գույնը ` սև
Գոտու տեսակը` գոտի
Գոտու նյութը` ռեզին
Գոտու գույնը` սև
Տիպ` ձեռքի ժամացույց
Գործում է 1 տարվա երաշխիք",https://static.4u.am/origin/product/1024/oJD77Cu0voEvVVgL.jpg
49,Արևային ակնոց «Danz» № DZ2852,N:003443,Danz,Danz,https://4u.am/hy/product/arevayin-aknoc-danz-no-dz2852,23000,"Բարձրաճաշակ ու հարմարավետ մոդել, որը յուրովի համապատասխանում է յուրաքանչյուրին։


Չափը` 46-23-140:


Նյութը` ացետատ, մետաղ:",https://static.4u.am/origin/product/1024/MODEL_ws_DZ2852_ws_(1).jpg
50,Շապիկ և նոթատետր `3 dzook` «Ընկերներ»,N:002324,3 dzook,3 dzook,https://4u.am/hy/product/sapik-ev-notatetr-3-dzook-nkerner,13500,"Բարձրորակ տպագիր կանացի շապիկ։
Բամբակ - 95%,
Լայկրա - 5%,
Չափսերը S, M, L, XL: 

Նոթատետր  «Ընկերներ»։",https://static.4u.am/origin/product/1024/0005660_0.jpeg
51,Օպտիկական ակնոց «Danz» № DZ2001,N:003589,Danz,Danz,https://4u.am/hy/product/optikakan-aknoc-danz-no-dz2001,26000,"Պաշտպանիչ ապակիներով ակնոցներ՝ նախատեսված համակարգչի մոտ երկար ժամանակ անցկացող անձանց համար։


Չափը` 54-14-145:


Նյութը` ացետատ:",https://static.4u.am/origin/product/1024/MODEL-DZ2001-(1).jpg
52,Ժամացույց  «Hamilton» ձեռքի H42415541,00-00007789,Time,Hamilton,https://4u.am/hy/product/zamacuyc-hamilton-jerki-h42415541,456000,"Ապրանքանիշ` Hamilton
Արտադրման երկիր` Չինաստան
Սեռ` տղամարդու
Մեխանիզմի տեսակ` ավտոմատ
Ապրանքի անվանում` Automatic Wristwatch /H42415541
Բրենդի գրանցման երկիրը` Շվեյցարիա
Թվատախտակի գույնը ` կապույտ
Գոտու տեսակը` գոտի
Գոտու նյութը` կաշի
Գոտու գույնը` շագանակագույն
Տիպ` ձեռքի ժամացույց
Գործում է 1 տարվա երաշխիք",https://static.4u.am/origin/product/1024/Ahgr67wgzvXoE3i0.jpg
53,Շապիկ և բաժակ `3 dzook` «Ընկերներ»,N:002365,3 dzook,3 dzook,https://4u.am/hy/product/sapik-ev-bazak-3-dzook-nkerner,13500,"Բարձրորակ տպագիր կանացի շապիկ։
Բամբակ - 95%,
Լայկրա -   5%,
Չափսերը S, M, L, XL: 
Կերամիկական բաժակ - 250մլ:",https://static.4u.am/origin/product/1024/0005659_0.jpeg
54,Արևային ակնոց «Danz» № DZ4304,N:003413,Danz,Danz,https://4u.am/hy/product/arevayin-aknoc-danz-no-dz4304,26000,"Ոճային ու հարմարավետ։ Այս նոր մոդելն իր ձևով և գույներով վստահաբար կհամապատասխանի յուրաքանչյուր ճաշակի։


Չափը՝ 59-17-145:


Նյութը` ացետատ:",https://static.4u.am/origin/product/1024/MODEL_ws_DZ4304_ws_(1).jpg
55,Ժամացույց  «Hamilton» ձեռքի  H42415731,00-00007796,Time,Hamilton,https://4u.am/hy/product/zamacuyc-hamilton-jerki-h42415731,456000,"Ապրանքանիշ` Hamilton
Արտադրման երկիր` Չինաստան
Սեռ` Տղամարդու
Մեխանիզմի տեսակ` Ավտոմատ
Ապրանքի անվանում` Automatic Wristwatch /H42415731
Բրենդի գրանցման երկիրը` Շվեյցարիա
Թվատախտակի գույնը ` սև
Գոտու տեսակը` գոտի
Գոտու նյութը` կաշի
Գոտու գույնը` սև
Տիպ` ձեռքի ժամացույց
Գործում է 1 տարվա երաշխիք",https://static.4u.am/origin/product/1024/SvRMwqQqdG176Cce.jpg
56,Գոտի «Monarch» տղամարդու №6,N:006924,Monarch,Monarch,https://4u.am/hy/product/goti-monarch-tgamardu-no6,10700,"Տղամարդու կտորե գոտի:

Գոտու չափը՝

Երկարությունը՝ 1.15 մ:
Լայնությունը՝ 3.9 սմ:",https://static.4u.am/origin/product/1024/wRrcJPzl5diFO5UK.jpg
57,"Արևային ակնոց,մոդել  DZ3203",N:003434,Danz,Danz,https://4u.am/hy/product/arevayin-aknocmodel-dz3203,25000,Եվս մեկ տարբերվող մոդել DANZ-ի յուրօրինակ տեսականուց։Չափ 57-15-145,https://static.4u.am/origin/product/1024/MODEL_ws_DZ3203_ws_(11).jpg
58,Ժամացույց  «Casio» ձեռքի   MTP-1384L-1AVDF,00-00005524,Time,Casio,https://4u.am/hy/product/zamacuyc-casio-jerki-mtp-1384l-1avdf,47300,"Ապրանքանիշ` Casio
Արտադրման երկիր` Չինաստան, Թայլանդ, Ճապոնիա
Սեռ` տղամարդու
Մեխանիզմի տեսակ` կվարց
Ապրանքի անվանում`  Quartz Wristwatch /  MTP-1384L-1AVDF
Բրենդի գրանցման երկիրը` Ճապոնիա
Թվատախտակի գույնը ` շագանակագույն
Գոտու տեսակը` գոտի
Գոտու նյութը` կաշի
Գոտու գույնը` շագանակագույն
Տիպ` ձեռքի ժամացույց
Գործում է 1 տարվա երաշխիք",https://static.4u.am/origin/product/1024/Dwtxz5q0QsXCaUOF.jpg
59,Պայուսակ «Diplomat» տղամարդու №16,N:030135,Diplomat,,https://4u.am/hy/product/payusak-diplomat-tgamardu-no16,40000,"Պայուսակ պատրաստված բնական կաշվից: 


Պայուսակի չափը.
Երկարությունը՝ 37.5 սմ:
Լայնությունը՝ 7.4 սմ:
Բարձրությունը՝ 28 սմ:",https://static.4u.am/origin/product/1024/S6z2oNn1g9ROU9iz.jpg
60,Արևային ակնոց «Danz» № DZ2606-1,N:003446,Danz,Danz,https://4u.am/hy/product/arevayin-aknoc-danz-no-dz2606-1,23000,"Մոդելի օրիգինալ ձևի ու գույների շնորհիվ Դուք մշտապես կլինեք ուշադրության կենտրոնում։


Չափը` 49-23-140:


Նյութը` ացետատ:",https://static.4u.am/origin/product/1024/MODEL_ws_DZ2606_ws_(1).jpg
61,Քարտապանակ «Phantom» թվեր,N:019608,Phantom.am,,https://4u.am/hy/product/kartapanak-phantom-tver,15500,Քարտապանակը պատրաստված է Անգուսի բնական կաշվից:,https://static.4u.am/origin/product/1024/zqsVZDiDyLnC-ybT.jpg
